Taxon,Date,Season,Plot Type,Sample,Sample Type,Wet Mass,Avg. Soil moisture,Calc. dry mass,Avg. Temp,Count
Unknown,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Hymenoptera,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,2
Coleoptera,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,2
Hemiptera,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,1
Diptera,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Blattodea,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Thysanoptera,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Psocoptera,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Lepidoptera,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,1
Orthoptera,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Trichoptera,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Neuroptera,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Zoraptera,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Phthiraptora,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Mecoptera,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Dermaptera,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Zygentoma,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Embioptera,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Archaeognatha,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Protura,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Diplura,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Entomobryomorpha,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,1
Poduromorpha,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Symphypleona,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Acari other,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,5
Oribatida,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,17
Araneae,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Opiliones,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Pseudoscorpiones,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Ixodida,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Ricinulei,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Schizomida,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Palpigradi,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Chilopoda,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Diplopoda,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,3
Symphyla,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,1
Tetramerocerata,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Isopoda,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Amphipoda,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Annelida,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Gastropoda,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Euonychophora,14.12.19,Wet,W,1S,Soil,304.5,46.3,163.5165,29.7,0
Unknown,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Hymenoptera,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Coleoptera,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,1
Hemiptera,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Diptera,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,3
Blattodea,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Thysanoptera,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Psocoptera,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Lepidoptera,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Orthoptera,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Trichoptera,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Neuroptera,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Zoraptera,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
