"Date","Season","Plot.Type","Sample","Sample.Type","Wet.Mass","Avg..Soil.moisture","Calc..dry.mass","Avg..Temp","Day","rain","Plot","Plot.pair","Acari other","Annelida","Araneae","Blattodea","Chilopoda","Coleoptera","Dermaptera","Diplopoda","Diplura","Diptera","Entomobryomorpha","Gastropoda","Hemiptera","Hymenoptera","Isopoda","Ixodida","Lepidoptera","Neuroptera","Opiliones","Oribatida","Orthoptera","Palpigradi","Phthiraptora","Poduromorpha","Protura","Pseudoscorpiones","Psocoptera","Schizomida","Symphyla","Symphypleona","Tetramerocerata","Thysanoptera","Trichoptera","Unknown","Zoraptera","Decomposers","Fungivores","Herbivores","Predators"
2019-12-14,"Wet","W","1S","Soil",304.5,46.3,163.5165,29.7,0,387.6,"1","A",30.5779539067923,0,0,0,0,12.2311815627169,0,18.3467723440754,0,0,6.11559078135846,0,6.11559078135846,12.2311815627169,0,0,6.11559078135846,0,0,103.965043283094,0,0,0,0,0,0,0,0,6.11559078135846,0,0,0,0,0,0,18.3467723440754,6.11559078135846,6.11559078135846,0
2019-12-14,"Wet","C","2S","Soil",341.3,51.26666667,166.32686665529,25.83333333,0,387.6,"2","A",36.0735467495754,0,0,0,0,6.0122577915959,0,0,12.0245155831918,18.0367733747877,12.0245155831918,0,0,0,0,0,0,0,0,6.0122577915959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0245155831918,0,12.0245155831918
2019-12-14,"Wet","W","3S","Soil",341.2,44.6,189.0248,30,0,387.6,"3","B",15.8709333378477,0,0,0,0,0,0,0,0,5.29031111261591,10.5806222252318,0,5.29031111261591,0,0,0,5.29031111261591,0,0,26.4515555630796,0,0,0,0,0,0,0,0,5.29031111261591,5.29031111261591,0,0,0,0,0,0,15.8709333378477,5.29031111261591,0
2019-12-14,"Wet","C","4S","Soil",389.2,50.8,191.4864,25.43333333,0,387.6,"4","B",5.22230299384186,0,0,0,0,0,0,0,5.22230299384186,5.22230299384186,10.4446059876837,0,0,26.1115149692093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22230299384186,10.4446059876837,0,0,0,0,0,26.1115149692093,0,5.22230299384186
2019-12-14,"Wet","W","5S","Soil",300.7,47.36666667,158.26843332331,28.3,0,387.6,"5","C",18.9551380335687,0,0,0,0,0,0,6.31837934452289,0,0,0,0,6.31837934452289,0,6.31837934452289,0,0,0,0,12.6367586890458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6367586890458,0,6.31837934452289,0
2019-12-14,"Wet","C","6S","Soil",557.4,50.33333333,276.84200001858,25.23333333,0,387.6,"6","C",25.2851807151018,3.61216867358597,0,0,0,10.8365060207579,0,0,0,3.61216867358597,14.4486746943439,0,10.8365060207579,101.140722860407,0,0,0,0,0,126.425903575509,0,0,0,0,0,0,0,0,0,3.61216867358597,3.61216867358597,0,0,3.61216867358597,0,3.61216867358597,21.6730120415158,10.8365060207579,0
2019-12-14,"Wet","W","7S","Soil",285.7,53.46666667,132.94573332381,27.2,0,387.6,"7","D",15.0437321303775,7.52186606518875,0,15.0437321303775,0,0,0,0,0,0,22.5655981955663,0,7.52186606518875,7.52186606518875,0,0,0,0,0,30.087464260755,0,0,0,7.52186606518875,0,0,0,0,0,0,7.52186606518875,0,0,0,0,22.5655981955663,37.6093303259438,7.52186606518875,0
2019-12-14,"Wet","C","8S","Soil",419.3,52.73333333,198.18913334731,25.06666667,0,387.6,"8","D",10.0913706327943,0,0,0,0,5.04568531639716,0,5.04568531639716,0,0,10.0913706327943,0,5.04568531639716,20.1827412655886,5.04568531639716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0913706327943,10.0913706327943,5.04568531639716,0
2019-12-14,"Wet","W","9S","Soil",301.4,48.03333333,156.62753334338,28.73333333,0,387.6,"9","E",31.9228675397596,0,0,31.9228675397596,0,0,0,0,0,0,19.1537205238558,0,6.38457350795192,306.459528381692,0,0,0,0,0,57.4611615715673,0,0,0,0,0,0,0,0,0,19.1537205238558,0,0,0,19.1537205238558,0,31.9228675397596,38.3074410477115,6.38457350795192,0
2019-12-14,"Wet","C","10S","Soil",247.6,50.53333333,122.47946667492,25.4,0,387.6,"10","E",122.469507805846,0,0,0,0,16.3292677074462,0,0,48.9878031223385,40.8231692686154,122.469507805846,0,40.8231692686154,24.4939015611692,8.16463385372308,0,16.3292677074462,0,0,261.268283319139,0,0,0,8.16463385372308,0,0,0,0,0,24.4939015611692,24.4939015611692,0,0,0,0,8.16463385372308,179.621944781908,40.8231692686154,48.9878031223385
2020-01-16,"Dry","W","1S","Soil",1355,32.06666667,920.4966666215,29.76666667,33,46,"1","A",51.0593918525573,0,0,0,0,19.55466070949,0,3.25911011824834,0,1.08637003941611,23.9001408671545,0,9.77733035474502,13.0364404729934,0,0,0,0,0,103.205153744531,0,0,0,0,0,0,0,0,6.51822023649668,3.25911011824834,2.17274007883223,0,0,5.43185019708057,0,3.25911011824834,29.3319910642351,9.77733035474502,0
